algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:39:57|fim:2016-05-13 15:39:57|duracao(nanosec):1196085
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:39:58|fim:2016-05-13 15:39:58|duracao(nanosec):1114094
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:39:58|fim:2016-05-13 15:39:58|duracao(nanosec):1166952
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:39:58|fim:2016-05-13 15:39:58|duracao(nanosec):1108688
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:39:58|fim:2016-05-13 15:39:58|duracao(nanosec):1118794
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:39:58|fim:2016-05-13 15:39:58|duracao(nanosec):1263646
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:39:59|fim:2016-05-13 15:39:59|duracao(nanosec):1122974
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:39:59|fim:2016-05-13 15:39:59|duracao(nanosec):1072248
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:39:59|fim:2016-05-13 15:39:59|duracao(nanosec):1069420
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:39:59|fim:2016-05-13 15:39:59|duracao(nanosec):1097546
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:00|fim:2016-05-13 15:40:00|duracao(nanosec):1128782
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:00|fim:2016-05-13 15:40:00|duracao(nanosec):1097653
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:00|fim:2016-05-13 15:40:00|duracao(nanosec):1214799
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:00|fim:2016-05-13 15:40:00|duracao(nanosec):1074439
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:01|fim:2016-05-13 15:40:01|duracao(nanosec):1120871
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:01|fim:2016-05-13 15:40:01|duracao(nanosec):1108645
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:01|fim:2016-05-13 15:40:01|duracao(nanosec):1110719
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:01|fim:2016-05-13 15:40:01|duracao(nanosec):1077073
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:02|fim:2016-05-13 15:40:02|duracao(nanosec):1166424
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:02|fim:2016-05-13 15:40:02|duracao(nanosec):1218285
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:02|fim:2016-05-13 15:40:02|duracao(nanosec):1222750
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:02|fim:2016-05-13 15:40:02|duracao(nanosec):1138312
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:03|fim:2016-05-13 15:40:03|duracao(nanosec):1100539
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:03|fim:2016-05-13 15:40:03|duracao(nanosec):1091872
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:03|fim:2016-05-13 15:40:03|duracao(nanosec):1241148
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:03|fim:2016-05-13 15:40:03|duracao(nanosec):1162427
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:04|fim:2016-05-13 15:40:04|duracao(nanosec):1107691
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:04|fim:2016-05-13 15:40:04|duracao(nanosec):1150575
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:04|fim:2016-05-13 15:40:04|duracao(nanosec):1189209
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:04|fim:2016-05-13 15:40:04|duracao(nanosec):1220931
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:04|fim:2016-05-13 15:40:04|duracao(nanosec):1235625
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:05|fim:2016-05-13 15:40:05|duracao(nanosec):1145161
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:05|fim:2016-05-13 15:40:05|duracao(nanosec):1169832
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:05|fim:2016-05-13 15:40:05|duracao(nanosec):1240032
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:05|fim:2016-05-13 15:40:05|duracao(nanosec):1132306
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:06|fim:2016-05-13 15:40:06|duracao(nanosec):1224061
algoritmo:QuickSort|tamanho:10000|inicio:2016-05-13 15:40:06|fim:2016-05-13 15:40:06|duracao(nanosec):1084964
